GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010
G3101050,Nebraska,31,310,Kimball County,105,1050,6000,4859,4074,3966,3599,1,0,2,9,6,4,4,9,27,50,4,17,23,32,96,55,70
G3101070,Nebraska,31,310,Knox County,107,1070,11454,10978,9031,8589,7753,1,3,0,8,8,263,466,482,667,786,5,8,21,51,37,59,117
G3101090,Nebraska,31,310,Lancaster County,109,1090,164178,185291,202663,225426,248615,2432,3270,4659,7052,9920,531,893,1207,1599,2140,831,2122,5112,11536,16847,4678,7885
G3101110,Nebraska,31,310,Lincoln County,111,1110,29224,35288,31354,32795,34229,80,92,95,188,262,48,76,120,175,214,186,101,939,1055,1059,419,524
G3101130,Nebraska,31,310,Logan County,113,1130,988,983,873,763,751,2,0,3,1,1,1,0,0,8,7,0,0,2,0,2,2,2
G3101150,Nebraska,31,310,Loup County,115,1150,853,859,682,704,625,1,0,0,0,1,0,0,0,2,1,0,0,1,4,4,2,1
G3101190,Nebraska,31,310,Madison County,119,1190,27192,31142,31734,32179,30752,28,56,238,330,444,153,108,238,419,401,29,33,445,1936,2669,362,610
G3101170,Nebraska,31,310,McPherson County,117,1170,622,593,545,522,529,0,0,1,0,2,1,0,0,0,0,0,0,0,11,0,0,8
G3101210,Nebraska,31,310,Merrick County,121,1210,8731,8898,7996,8066,7550,3,4,3,18,15,9,23,13,8,31,8,7,30,73,171,39,78
G3101230,Nebraska,31,310,Morrill County,123,1230,5781,5873,5202,5096,4600,2,0,1,4,12,27,31,33,39,55,3,5,187,236,298,65,77
G3101250,Nebraska,31,310,Nance County,125,1250,5115,4736,4250,3973,3659,11,0,1,0,8,9,2,5,15,10,7,0,19,20,21,30,37
G3101270,Nebraska,31,310,Nemaha County,127,1270,8912,8260,7876,7394,7026,38,76,72,27,63,8,17,13,23,19,18,10,19,76,69,56,71
G3101290,Nebraska,31,310,Nuckolls County,129,1290,7396,6713,5774,5002,4383,1,6,1,1,6,3,3,8,3,10,4,4,3,35,40,16,61
G3101310,Nebraska,31,310,Otoe County,131,1310,15524,15125,14138,14999,14932,22,8,25,44,75,12,18,31,34,46,18,20,58,219,508,100,179
G3101330,Nebraska,31,310,Pawnee County,133,1330,4471,3923,3304,3052,2708,1,0,3,0,9,1,11,1,6,4,0,3,9,9,18,20,34
G3101350,Nebraska,31,310,Perkins County,135,1350,3420,3594,3320,3126,2884,1,1,0,1,11,0,2,8,9,6,2,0,39,50,58,14,11
G3101370,Nebraska,31,310,Phelps County,137,1370,9520,9682,9653,9532,8899,4,2,5,11,13,2,39,15,27,35,27,8,42,104,152,73,89
G3101390,Nebraska,31,310,Pierce County,139,1390,8479,8481,7782,7751,7147,0,0,0,6,14,6,0,25,28,16,8,0,20,36,51,36,38
G3101410,Nebraska,31,310,Platte County,141,1410,26456,28643,29523,29854,29021,5,23,54,111,145,10,44,61,90,219,37,65,182,1242,2376,365,476
G3101430,Nebraska,31,310,Polk County,143,1430,6460,6274,5632,5578,5292,2,10,1,1,6,5,34,13,16,11,1,2,29,21,43,23,54
G3101450,Nebraska,31,310,Red Willow County,145,1450,12133,12456,11568,11167,10612,19,6,13,18,81,14,5,28,44,52,25,30,96,127,187,92,123
