"","GISJOIN","STATE","STATEFP","STATENH","COUNTY","COUNTYFP","COUNTYNH","B18AA1970","B18AA1971","B18AA1972","B18AA1973","B18AA1974","B18AA1975","B18AA1976","B18AA1977","B18AA1978","B18AA1979","B18AA1980","B18AA1981","B18AA1982","B18AA1983","B18AA1984","B18AA1985","B18AA1986","B18AA1987","B18AA1988","B18AA1989","B18AA1990","B18AA1991","B18AA1992","B18AA1993","B18AA1994","B18AA1995","B18AA1996","B18AA1997","B18AA1998","B18AA1999","B18AA2000","B18AA2001","B18AA2002","B18AA2003","B18AA2004","B18AA2005","B18AA2006","B18AA2007","B18AA2008","B18AA2009","B18AA2010","B18AB1970","B18AB1971","B18AB1972","B18AB1973","B18AB1974","B18AB1975","B18AB1976","B18AB1977","B18AB1978","B18AB1979","B18AB1980","B18AB1981","B18AB1982","B18AB1983","B18AB1984","B18AB1985","B18AB1986","B18AB1987","B18AB1988","B18AB1989","B18AB1990","B18AB1991","B18AB1992","B18AB1993","B18AB1994","B18AB1995","B18AB1996","B18AB1997","B18AB1998","B18AB1999","B18AB2000","B18AB2001","B18AB2002","B18AB2003","B18AB2004","B18AB2005","B18AB2006","B18AB2007","B18AB2008","B18AB2009","B18AB2010","B18AC1970","B18AC1971","B18AC1972","B18AC1973","B18AC1974","B18AC1975","B18AC1976","B18AC1977","B18AC1978","B18AC1979","B18AC1980","B18AC1981","B18AC1982","B18AC1983","B18AC1984","B18AC1985","B18AC1986","B18AC1987","B18AC1988","B18AC1989","B18AC1990","B18AC1991","B18AC1992","B18AC1993","B18AC1994","B18AC1995","B18AC1996","B18AC1997","B18AC1998","B18AC1999","B18AC2000","B18AC2001","B18AC2002","B18AC2003","B18AC2004","B18AC2005","B18AC2006","B18AC2007","B18AC2008","B18AC2009","B18AC2010","B18AD1970","B18AD1971","B18AD1972","B18AD1973","B18AD1974","B18AD1975","B18AD1976","B18AD1977","B18AD1978","B18AD1979","B18AD1980","B18AD1981","B18AD1982","B18AD1983","B18AD1984","B18AD1985","B18AD1986","B18AD1987","B18AD1988","B18AD1989","B18AD1990","B18AD1991","B18AD1992","B18AD1993","B18AD1994","B18AD1995","B18AD1996","B18AD1997","B18AD1998","B18AD1999","B18AD2000","B18AD2001","B18AD2002","B18AD2003","B18AD2004","B18AD2005","B18AD2006","B18AD2007","B18AD2008","B18AD2009","B18AD2010","B18AE2000","B18AE2001","B18AE2002","B18AE2003","B18AE2004","B18AE2005","B18AE2006","B18AE2007","B18AE2008","B18AE2009","B18AE2010"
"1","G3100010","Nebraska",31,310,"Adams County",1,10,30325,30472.8215,30580.0542222222,30649.5171666667,30684.0293333333,30686.4097222222,30659.4773333333,30606.0511666667,30528.9502222222,30430.9935,30315,30184.0895,30042.5848888889,29895.1098333333,29746.288,29600.7430555556,29463.0986666667,29337.9785,29230.0062222222,29143.8055,29084,29053.7095,29050.0382222222,29068.5865,29104.9546666667,29154.7430555556,29213.552,29276.9818333333,29340.6328888889,29400.1055,29451,29489.2175,29511.8622222222,29516.3391666667,29500.0533333333,29460.4097222222,29394.8133333333,29300.6691666667,29175.3822222222,29016.3575,28821,123,106.935,94.1866666666667,84.55,77.82,73.7916666666667,72.26,73.02,75.8666666666667,80.595,87,94.8595,103.882666666667,113.7615,124.188,134.854166666667,145.452,155.6735,165.210666666667,173.7555,181,186.722,191.042666666667,194.169,196.308,197.666666666667,198.452,198.871,199.130666666667,199.438,200,201.0065,202.578666666667,204.8205,207.836,211.729166666667,216.604,222.5645,229.714666666667,238.1585,248,40,32.2305,26.4728888888889,22.5951666666667,20.4653333333333,19.9513888888889,20.9213333333333,23.2431666666667,26.7848888888889,31.4145,37,43.398,50.4195555555556,57.8643333333333,65.532,73.2222222222222,80.7346666666667,87.869,94.4248888888889,100.202,105,108.6755,111.312888888889,113.0535,114.038666666667,114.409722222222,114.308,113.874833333333,113.251555555556,112.5795,112,111.643,111.592888888889,111.922666666667,112.705333333333,114.013888888889,115.921333333333,118.500666666667,121.824888888889,125.967,131,65,70.986,74.168,75.007,73.964,71.5,68.076,64.153,60.192,56.654,54,52.7685,53.808,58.0445,66.404,79.8125,99.196,125.4805,159.592,202.4565,255,317.761,389.728,469.502,555.684,646.875,741.676,838.688,936.512,1033.749,1129,1220.9435,1308.568,1390.9395,1467.124,1536.1875,1597.196,1649.2155,1691.312,1722.5515,1742,259,275.3,291.6,307.9,324.2,340.5,356.8,373.1,389.4,405.7,422
"2","G3100030","Nebraska",31,310,"Antelope County",3,30,9034,9027.283,9012.23288888889,8989.34266666667,8959.10533333333,8922.01388888889,8878.56133333333,8829.24066666667,8774.54488888889,8714.967,8651,8583.1885,8512.28355555556,8439.08783333333,8364.404,8289.03472222222,8213.78266666667,8139.4505,8066.84088888889,7996.7565,7930,7867.116,7807.61688888889,7750.757,7695.79066666667,7641.97222222222,7588.556,7534.79633333333,7479.94755555556,7423.264,7364,7301.4615,7235.16088888889,7164.66216666667,7089.52933333333,7009.32638888889,6923.61733333333,6831.96616666667,6733.93688888889,6629.0935,6517,0,1.243,2.28622222222222,3.14266666666667,3.82533333333333,4.34722222222222,4.72133333333333,4.96066666666667,5.07822222222222,5.087,5,4.8305,4.59288888888889,4.30183333333333,3.972,3.61805555555556,3.25466666666667,2.8965,2.55822222222222,2.2545,2,1.808,1.68622222222222,1.641,1.67866666666667,1.80555555555556,2.028,2.35233333333333,2.78488888888889,3.332,4,4.7955,5.72622222222222,6.80016666666667,8.02533333333333,9.40972222222222,10.9613333333333,12.6881666666667,14.5982222222222,16.6995,19,5,5.7795,6.57155555555556,7.37316666666667,8.18133333333333,8.99305555555556,9.80533333333333,10.6151666666667,11.4195555555556,12.2155,13,13.7705,14.5262222222222,15.2668333333333,15.992,16.7013888888889,17.3946666666667,18.0715,18.7315555555556,19.3745,20,20.6055,21.1795555555556,21.7085,22.1786666666667,22.5763888888889,22.888,23.0998333333333,23.1982222222222,23.1695,23,22.6765,22.1875555555556,21.5221666666667,20.6693333333333,19.6180555555556,18.3573333333333,16.8761666666667,15.1635555555556,13.2085,11,8,7.1335,6.42577777777778,5.87283333333333,5.47066666666667,5.21527777777778,5.10266666666667,5.12883333333333,5.28977777777778,5.5815,6,6.538,7.17511111111111,7.88766666666667,8.652,9.44444444444444,10.2413333333333,11.019,11.7537777777778,12.422,13,13.4805,13.9217777777778,14.3985,14.9853333333333,15.7569444444444,16.788,18.1531666666667,19.9271111111111,22.1845,25,28.445,32.5777777777778,37.4533333333333,43.1266666666667,49.6527777777778,57.0866666666667,65.4833333333333,74.8977777777778,85.385,97,36,36.5,37,37.5,38,38.5,39,39.5,40,40.5,41
"3","G3100050","Nebraska",31,310,"Arthur County",5,50,605,593.5775,582.688888888889,572.319166666667,562.453333333333,553.076388888889,544.173333333333,535.729166666667,527.728888888889,520.1575,513,506.2395,499.851555555556,493.809833333333,488.088,482.659722222222,477.498666666667,472.5785,467.872888888889,463.3555,459,454.7895,450.744888888889,446.8965,443.274666666667,439.909722222222,436.832,434.071833333333,431.659555555556,429.6255,428,426.8115,426.080888888889,425.827166666667,426.069333333333,426.826388888889,428.117333333333,429.961166666667,432.376888888889,435.3835,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2575,-0.444444444444445,-0.565833333333334,-0.626666666666667,-0.631944444444445,-0.586666666666667,-0.495833333333334,-0.364444444444445,-0.1975,0,0.2225,0.462222222222222,0.710833333333333,0.96,1.20138888888889,1.42666666666667,1.6275,1.79555555555556,1.9225,2,2.0225,1.99555555555556,1.9275,1.82666666666667,1.70138888888889,1.56,1.41083333333333,1.26222222222222,1.1225,1,0.9025,0.835555555555556,0.804166666666667,0.813333333333333,0.868055555555556,0.973333333333333,1.13416666666667,1.35555555555556,1.6425,2,1,0.949,0.876444444444444,0.786333333333333,0.682666666666667,0.569444444444444,0.450666666666667,0.330333333333333,0.212444444444444,0.101,0,-0.086,-0.150222222222222,-0.185333333333333,-0.184,-0.138888888888889,-0.0426666666666667,0.112,0.332444444444445,0.626,1,1.459,1.99644444444444,2.603,3.26933333333333,3.98611111111111,4.744,5.53366666666667,6.34577777777778,7.171,8,8.824,9.63644444444444,10.4313333333333,11.2026666666667,11.9444444444444,12.6506666666667,13.3153333333333,13.9324444444444,14.496,15,7,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.6,4.3,4
"4","G3100070","Nebraska",31,310,"Banner County",7,70,1032,1018.546,1005.448,992.702,980.304,968.25,956.536,945.158,934.112,923.394,913,902.932,893.216,883.884,874.968,866.5,858.512,851.036,844.104,837.748,832,826.862,822.216,817.914,813.808,809.75,805.592,801.186,796.384,791.038,785,778.128,770.304,761.416,751.352,740,727.248,712.984,697.096,679.472,660,1,0.717,0.482666666666667,0.294,0.148,0.0416666666666667,-0.028,-0.0639999999999998,-0.069333333333333,-0.0469999999999997,4.44089209850063e-16,0.0685,0.154666666666667,0.2545,0.364,0.479166666666667,0.596,0.7105,0.818666666666667,0.9165,1,1.066,1.11466666666667,1.147,1.164,1.16666666666667,1.156,1.133,1.09866666666667,1.054,1,0.9375,0.866666666666667,0.7875,0.7,0.604166666666667,0.5,0.3875,0.266666666666667,0.1375,0,1,1.8845,2.64266666666667,3.2815,3.808,4.22916666666667,4.552,4.7835,4.93066666666667,5.0005,5,4.9365,4.81866666666667,4.6555,4.456,4.22916666666667,3.984,3.7295,3.47466666666667,3.2285,3,2.7965,2.61866666666667,2.4655,2.336,2.22916666666667,2.144,2.0795,2.03466666666667,2.0085,2,2.0085,2.03466666666667,2.0795,2.144,2.22916666666667,2.336,2.4655,2.61866666666667,2.7965,3,0,-1.382,-2.39822222222222,-3.07066666666667,-3.42133333333333,-3.47222222222222,-3.24533333333333,-2.76266666666667,-2.04622222222222,-1.118,-4.44089209850063e-15,1.285,2.71111111111111,4.25166666666667,5.88,7.56944444444445,9.29333333333333,11.025,12.7377777777778,14.405,16,17.5,18.8977777777778,20.19,21.3733333333333,22.4444444444444,23.4,24.2366666666667,24.9511111111111,25.54,26,26.327,26.5137777777778,26.5523333333333,26.4346666666667,26.1527777777778,25.6986666666667,25.0643333333333,24.2417777777778,23.223,22,5,5,5,5,5,5,5,5,5,5,5
"5","G3100090","Nebraska",31,310,"Blaine County",9,90,844,865.527,881.882666666667,893.379,900.328,903.041666666667,901.832,897.011,888.890666666667,877.783,864,847.877,829.842666666667,810.349,789.848,768.791666666667,747.632,726.821,706.810666666667,688.053,671,655.987,642.882666666667,631.439,621.408,612.541666666667,604.592,597.311,590.450666666667,583.763,577,569.937,562.442666666667,554.409,545.728,536.291666666667,525.992,514.721,502.370666666667,488.833,474,0,-0.148,-0.255111111111111,-0.324333333333333,-0.358666666666667,-0.361111111111111,-0.334666666666667,-0.282333333333333,-0.207111111111111,-0.112,0,0.1255,0.259555555555556,0.396833333333333,0.532,0.659722222222222,0.774666666666667,0.8715,0.944888888888889,0.9895,1,0.973,0.912888888888889,0.826,0.718666666666667,0.597222222222222,0.468,0.337333333333333,0.211555555555555,0.0969999999999998,-4.44089209850063e-16,-0.0735,-0.119111111111111,-0.132833333333333,-0.110666666666667,-0.0486111111111111,0.0573333333333332,0.211166666666667,0.416888888888889,0.6785,1,2,1.618,1.28177777777778,0.989333333333333,0.738666666666666,0.527777777777777,0.354666666666666,0.217333333333333,0.113777777777777,0.0419999999999998,-4.44089209850063e-16,-0.014,-0.000888888888888897,0.0386666666666667,0.104,0.194444444444444,0.309333333333333,0.448,0.609777777777778,0.794,1,1.226,1.46577777777778,1.712,1.95733333333333,2.19444444444444,2.416,2.61466666666667,2.78311111111111,2.914,3,3.034,3.00977777777778,2.92133333333333,2.76266666666667,2.52777777777778,2.21066666666667,1.80533333333333,1.30577777777778,0.706,-8.88178419700125e-16,1,0.533,0.166222222222222,-0.107333333333333,-0.294666666666667,-0.402777777777778,-0.438666666666667,-0.409333333333333,-0.321777777777777,-0.183,2.22044604925031e-16,0.2195,0.464888888888889,0.724833333333333,0.988,1.24305555555556,1.47866666666667,1.6835,1.84622222222222,1.9555,2,1.972,1.87822222222222,1.729,1.53466666666667,1.30555555555556,1.052,0.784333333333333,0.512888888888889,0.248,2.22044604925031e-16,-0.2215,-0.409777777777778,-0.558833333333333,-0.662666666666667,-0.715277777777778,-0.710666666666667,-0.642833333333333,-0.505777777777778,-0.2935,0,3,3,3,3,3,3,3,3,3,3,3
"6","G3100110","Nebraska",31,310,"Boone County",11,110,8180,8106.775,8031.49333333333,7954.395,7875.72,7795.70833333333,7714.6,7632.635,7550.05333333333,7467.095,7384,7301.058,7218.75733333333,7137.636,7058.232,6981.08333333333,6906.728,6835.704,6768.54933333333,6705.802,6648,6595.433,6547.39733333333,6502.941,6461.112,6420.95833333333,6381.528,6341.869,6301.02933333333,6258.057,6212,6161.956,6107.22133333333,6047.142,5981.064,5908.33333333333,5828.296,5740.298,5643.68533333333,5537.804,5422,1,0.591,0.261333333333333,0.00699999999999978,-0.176,-0.291666666666667,-0.344,-0.337,-0.274666666666667,-0.161,-4.44089209850063e-16,0.203,0.437333333333333,0.691,0.952,1.20833333333333,1.448,1.659,1.82933333333333,1.947,2,1.983,1.91733333333333,1.831,1.752,1.70833333333333,1.728,1.839,2.06933333333333,2.447,3,3.755,4.73333333333333,5.955,7.44,9.20833333333333,11.28,13.675,16.4133333333333,19.515,23,3,2.9555,3.04177777777778,3.24683333333333,3.55866666666667,3.96527777777778,4.45466666666667,5.01483333333333,5.63377777777778,6.2995,7,7.721,8.43911111111111,9.12866666666667,9.764,10.3194444444444,10.7693333333333,11.088,11.2497777777778,11.229,11,10.5485,9.90577777777778,9.1145,8.21733333333333,7.25694444444444,6.276,5.31716666666667,4.42311111111111,3.6365,3,2.554,2.32977777777778,2.35633333333333,2.66266666666667,3.27777777777778,4.23066666666667,5.55033333333333,7.26577777777778,9.406,12,6,4.8815,3.88088888888889,2.99716666666667,2.22933333333333,1.57638888888889,1.03733333333333,0.611166666666668,0.296888888888891,0.0935000000000015,1.77635683940025e-15,0.0164999999999999,0.147555555555555,0.398833333333333,0.776,1.28472222222222,1.93066666666667,2.7195,3.65688888888889,4.7485,6,7.4115,8.96088888888889,10.6205,12.3626666666667,14.1597222222222,15.984,17.8078333333333,19.6035555555556,21.3435,23,24.5465,25.9608888888889,27.2221666666667,28.3093333333333,29.2013888888889,29.8773333333333,30.3161666666667,30.4968888888889,30.3985,30,18,18,18,18,18,18,18,18,18,18,18
"7","G3100130","Nebraska",31,310,"Box Butte County",13,130,9669,10290.2305,10841.2951111111,11325.3868333333,11745.6986666667,12105.4236111111,12407.7546666667,12655.8848333333,12853.0071111111,13002.3145,13107,13170.3555,13196.0684444444,13187.9251666667,13149.712,13085.2152777778,12998.2213333333,12892.5165,12771.8871111111,12640.1195,12501,12357.8205,12211.8951111111,12064.0435,11915.0853333333,11765.8402777778,11617.128,11469.7681666667,11324.5804444444,11182.3845,11044,10910.3455,10782.7351111111,10662.5818333333,10551.2986666667,10450.2986111111,10360.9946666667,10284.7998333333,10223.1271111111,10177.3895,10149,36,29.5615,24.392,20.4105,17.536,15.6875,14.784,14.7445,15.488,16.9335,19,21.5995,24.616,27.9265,31.408,34.9375,38.392,41.6485,44.584,47.0755,49,50.2695,50.936,51.0865,50.808,50.1875,49.312,48.2685,47.144,46.0255,45,44.1475,43.52,43.1625,43.12,43.4375,44.16,45.3325,47,49.2075,52,307,287.061,270.376888888889,256.763666666667,246.037333333333,238.013888888889,232.509333333333,229.339666666667,228.320888888889,229.269,232,236.315,241.955555555556,248.648333333333,256.12,264.097222222222,272.306666666667,280.475,288.328888888889,295.595,302,307.345,311.728888888889,315.325,318.306666666667,320.847222222222,323.12,325.298333333333,327.555555555556,330.065,333,336.519,340.720888888889,345.689666666667,351.509333333333,358.263888888889,366.037333333333,374.913666666667,384.976888888889,396.311,409,82,59.5295,42.056,29.3115,21.028,16.9375,16.772,20.2635,27.144,37.1455,50,65.441,83.208,103.042,124.684,147.875,172.356,197.868,224.152,250.949,278,305.0385,331.768,357.8845,383.084,407.0625,429.516,450.1405,468.632,484.6865,498,508.27,515.2,518.495,517.86,513,503.62,489.425,470.12,445.41,415,238,242.5,247,251.5,256,260.5,265,269.5,274,278.5,283
"8","G3100150","Nebraska",31,310,"Boyd County",15,150,3736,3708.3455,3677.20177777778,3642.80683333333,3605.39866666667,3565.21527777778,3522.49466666667,3477.47483333333,3430.39377777778,3381.4895,3331,3279.182,3226.36711111111,3172.90566666667,3119.148,3065.44444444444,3012.14533333333,2959.601,2908.16177777778,2858.178,2810,2763.8845,2719.71377777778,2677.2765,2636.36133333333,2596.75694444444,2558.252,2520.63516666667,2483.69511111111,2447.2205,2411,2374.841,2338.62577777778,2302.25533333333,2265.63066666667,2228.65277777778,2191.22266666667,2153.24133333333,2114.60977777778,2075.229,2035,0,-0.0025,-0.00444444444444444,-0.00583333333333333,-0.00666666666666667,-0.00694444444444444,-0.00666666666666667,-0.00583333333333333,-0.00444444444444445,-0.0025,0,0.003,0.00622222222222222,0.00933333333333333,0.012,0.0138888888888889,0.0146666666666667,0.014,0.0115555555555556,0.007,-4.33680868994202e-18,-0.0095,-0.0204444444444444,-0.0315,-0.0413333333333333,-0.0486111111111111,-0.052,-0.0501666666666667,-0.0417777777777778,-0.0255,0,0.036,0.0835555555555555,0.143666666666667,0.217333333333333,0.305555555555556,0.409333333333333,0.529666666666667,0.667555555555556,0.824,1,15,9.668,5.36622222222222,2.02766666666667,-0.414666666666665,-2.02777777777778,-2.87866666666667,-3.03433333333333,-2.56177777777778,-1.528,0,1.9495,4.22488888888889,6.72483333333333,9.348,11.9930555555556,14.5586666666667,16.9435,19.0462222222222,20.7655,22,22.677,22.8382222222222,22.554,21.8946666666667,20.9305555555556,19.732,18.3693333333333,16.9128888888889,15.433,14,12.6785,11.5102222222222,10.5311666666667,9.77733333333333,9.28472222222222,9.08933333333333,9.22716666666667,9.73422222222222,10.6465,12,1,0.464,0.0408888888888888,-0.275333333333334,-0.490666666666667,-0.611111111111112,-0.642666666666667,-0.591333333333333,-0.463111111111111,-0.264,2.22044604925031e-16,0.321,0.683555555555555,1.07033333333333,1.464,1.84722222222222,2.20266666666667,2.513,2.76088888888889,2.929,3,2.966,2.85688888888889,2.712,2.57066666666667,2.47222222222222,2.456,2.56133333333333,2.82755555555556,3.294,4,4.983,6.27288888888889,7.89766666666667,9.88533333333333,12.2638888888889,15.0613333333333,18.3056666666667,22.0248888888889,26.247,31,9,10.1,11.2,12.3,13.4,14.5,15.6,16.7,17.8,18.9,20
"9","G3100170","Nebraska",31,310,"Brown County",17,170,3991,4130.756,4243.248,4330.137,4393.084,4433.75,4453.796,4454.883,4438.672,4406.824,4361,4302.9975,4235.16,4159.9675,4079.9,3997.4375,3915.06,3835.2475,3760.48,3693.2375,3636,3590.565,3556,3530.69,3513.02,3501.375,3494.14,3489.7,3486.44,3482.745,3477,3467.7265,3453.992,3435.0005,3409.956,3378.0625,3338.524,3290.5445,3233.328,3166.0785,3088,2,1.536,1.14133333333333,0.812,0.544,0.333333333333333,0.176,0.0679999999999998,0.00533333333333319,-0.0160000000000005,0,0.049,0.125333333333333,0.223,0.336,0.458333333333333,0.584,0.707,0.821333333333333,0.921,1,1.054,1.08533333333333,1.098,1.096,1.08333333333333,1.064,1.042,1.02133333333333,1.006,1,1.007,1.02933333333333,1.069,1.128,1.20833333333333,1.312,1.441,1.59733333333333,1.783,2,18,13.4785,9.67911111111111,6.55783333333333,4.07066666666667,2.17361111111111,0.82266666666667,-0.0261666666666649,-0.416888888888888,-0.3935,0,0.716,1.69244444444444,2.86366666666667,4.164,5.52777777777778,6.88933333333333,8.183,9.34311111111111,10.304,11,11.3835,11.4791111111111,11.3295,10.9773333333333,10.4652777777778,9.836,9.13216666666667,8.39644444444444,7.6715,7,6.421,5.95911111111111,5.63533333333333,5.47066666666667,5.48611111111111,5.70266666666667,6.14133333333333,6.82311111111111,7.769,9,10,12.1415,13.8631111111111,15.1938333333333,16.1626666666667,16.7986111111111,17.1306666666667,17.1878333333333,16.9991111111111,16.5935,16,15.2505,14.3884444444444,13.4601666666667,12.512,11.5902777777778,10.7413333333333,10.0115,9.44711111111111,9.0945,9,9.1955,9.65511111111111,10.3385,11.2053333333333,12.2152777777778,13.328,14.5031666666667,15.7004444444444,16.8795,18,19.0245,19.9271111111111,20.6848333333333,21.2746666666667,21.6736111111111,21.8586666666667,21.8068333333333,21.4951111111111,20.9005,20,22,22.4,22.8,23.2,23.6,24,24.4,24.8,25.2,25.6,26
"10","G3100190","Nebraska",31,310,"Buffalo County",19,190,30998,31422.4065,31815.6497777778,32179.9988333333,32517.7226666667,32831.0902777778,33122.3706666667,33393.8328333333,33647.7457777778,33886.3785,34112,34327.1575,34535.5111111111,34740.9991666667,34947.56,35159.1319444444,35379.6533333333,35613.0625,35863.2977777778,36134.2975,36430,36752.9525,37100.1377777778,37467.1475,37849.5733333333,38243.0069444444,38643.04,39045.2641666667,39445.2711111111,39838.6525,40221,40588.1835,40937.1857777778,41265.2678333333,41569.6906666667,41847.7152777778,42096.6026666667,42313.6138333333,42496.0097777778,42641.0515,42746,87,65.2165,47.7653333333333,34.3955,24.856,18.8958333333333,16.264,16.7095,19.9813333333333,25.8285,34,44.2225,56.1333333333333,69.3475,83.48,98.1458333333333,112.96,127.5375,141.493333333333,154.4425,166,175.8925,184.293333333333,191.4875,197.76,203.395833333333,208.68,213.8975,219.333333333333,225.2725,232,239.7785,248.781333333333,259.1595,271.064,284.645833333333,300.056,317.4455,336.965333333333,358.7665,383,73,70.8905,69.5306666666667,68.8735,68.872,69.4791666666667,70.648,72.3315,74.4826666666667,77.0545,80,83.2705,86.8106666666667,90.5635,94.472,98.4791666666667,102.528,106.5615,110.522666666667,114.3545,118,121.4105,124.570666666667,127.4735,130.112,132.479166666667,134.568,136.3715,137.882666666667,139.0945,140,140.5905,140.850666666667,140.7635,140.312,139.479166666667,138.248,136.6015,134.522666666667,131.9945,129,64,25.6115,-1.03911111111111,-16.5878333333333,-21.6706666666667,-16.9236111111111,-2.98266666666669,19.5161666666666,49.9368888888889,87.6435,132,182.302,237.571555555556,296.762333333333,358.828,422.722222222222,487.398666666667,551.811,614.912888888889,675.658,733,786.2345,836.024888888889,883.3765,929.294666666667,974.784722222222,1020.852,1068.50183333333,1118.73955555556,1172.5705,1231,1294.965,1365.12888888889,1442.08666666667,1526.43333333333,1618.76388888889,1719.67333333333,1829.75666666667,1949.60888888889,2079.825,2221,435,453.8,472.6,491.4,510.2,529,547.8,566.6,585.4,604.2,623
